id,mensaje
1,PESIMO SERVICIO nunca solucionan nada
2,El servicio es muy lento y nadie responde
3,Si esto sigue así voy a demandar
4,Estoy pensando en cancelar el servicio definitivamente
5,Gracias por la atención todo quedó resuelto
6,Esto es una estafa y no confío en ustedes
7,La experiencia fue terrible y la atención pésima
8,No estoy satisfecho con el servicio recibido
9,Mal servicio pero espero que mejoren
10,Presentaré un reclamo formal por esta situación
11,Los voy a demandar si no dan una solución inmediata
12,El proceso fue una demora terrible y muy lento
13,Servicio horrible, nunca solucionan nada
14,Todo está bien, excelente atención
15,No es justo lo que están haciendo con los clientes
